Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,11890327.09,294396.81,1289528.10,3167,0,3260,0,8075,0,710,0,40,0.7922401171165939,7776
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,15215880.69,323503.82,111370.00,4087,0,1387,0,7806,0,1322,0,67,0.908814699592489,11184
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,3623933.45,42944.54,3130.00,593,0,1167,0,1511,0,36,0,6,0.6000758256097577,336
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6268571.00,3021328.62,2614590.00,2183,0,792,0,5494,0,689,0,21,0.9677713215941264,7692
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,6704401.86,2030452.05,3524613.00,1556,0,657,0,3964,0,548,0,50,0.4526976619350246,12084
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1376252.20,474744.87,1441598.00,1263,0,348,0,1993,0,319,0,10,0.9134650927580962,2916
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1454835.91,1382678.61,282171.15,1078,0,269,0,2471,0,398,0,31,0.9528263839747044,4440
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,3146530.18,1534736.52,457411.40,1303,0,373,0,2789,0,372,0,34,0.925810301767429,4632
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1404322.24,413961.52,306785.19,826,0,314,0,1355,0,155,0,27,0.8868052212711788,1956
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,17569043.55,0.00,0,4967,0,1257,0,11734,0,1750,54,0.9792067847513533,17100
